name,prompt,negative_prompt
____Negative Prompts________负面提示____,,
Default_Negative (Low Token) Default_Negative（低代币）,,"lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry"
Default_Negative (sfw) 默认_负 (sfw) ,,"NSFW, Cleavage, Pubic Hair, Nudity, Naked, Au naturel, Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet, abnormal fingers"
Default_Negative 默认_负 ,,"Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet, abnormal fingers"
____Background  Prompts________背景提示____,,
Background 黑背景,"A style of drawing that uses a black background to create a dramatic, high-contrast effect",
Background 白背景,"A style of drawing that uses a white background to create a clean, minimalist effect",
Neutral background中性背景,"A style of drawing that uses a plain, neutral background to draw attention to the subject of the drawing",
____Positive Prompts________积极提示____,,
3D Character 3D 角色,"3D toy, standing character, tiny, cute, soft lighting, pastel colors, skottie young, blender, pop surrealism, pbr",
Adorable 可爱,"Cute and adorable cartoon, fantasy, dreamlike, surrealism, super cute, trending on artstation",
Anime Portrait 动漫肖像,"portrait of an anime person, aesthetic, wlop, trending on artstation, deviantart, anime key visual, 8k uhd",
Anime 动漫,"A style of drawing that emulates the distinctive visual style of Japanese anime and manga, often featuring colorful characters with large eyes and exaggerated expressions",
ArchViz 建筑可视化 ,"by James McDonald and Joarc Architects, home, interior, octane render, deviantart, cinematic, key art, hyperrealism, sun light, sunrays, canon eos c 300, Æ’ 1.8, 35 mm, 8k",
Artistic 艺术,A style of drawing that uses traditional drawing tools and techniques to create visually striking and expressive pieces of art,
Beautiful Portrait 美丽的肖像,"alluring portrait, intricate, highly detailed, digital painting, artstation, concept art, naughty, sharp focus, cinematic lighting, illustration, art by artgerm and greg rutkowski, alphonse mucha, cgsociety",
Black and White Film Noir黑白黑色电影,"(b&w, Monochromatic, Film Photography:1.3), Photorealistic, Hyperrealistic, Hyperdetailed, film noir, analog style, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",
Building 建筑,"shot 35 mm, realism, octane render, 8k, trending on artstation, 35 mm camera, unreal engine, hyper detailed, photo-realistic maximum detail, volumetric light, realistic matte painting, hyper photorealistic, trending on artstation, ultra-detailed, realis",
Caricature 漫画,"Cartoon caricature realistic, cute as a pixar disney character caricature cute full body from up 2009 unreal engine octane render 3d render photorealistic",
Cartoon 卡通,"A style of drawing that emphasizes humor and lightheartedness, often featuring exaggerated features and simplified shapes",
CGI Character CGI 角色,"portrait of a CGI animation character, magical background, bright natural lighing, backlighting, professional studio quality, looking at camera, large round cute detailed eyes, detailed, cute, adorable, intricately detailed, fantasy art, digital painting",
Comic Art 漫画艺术,"Retro style artwork, comic book art, high details, comic book cover, symmetrical, vibrant colors",
Control Room 控制室,"steampunk happy Funny cartoonish at a complex nuclear control room, by Gediminas Pranckevicius H 704, machinarium style, intricate",
Cute Creature 可爱的生物,"cute cute cute creature, an illustration by esao andrews, cyril rolando and goro fujita, deviantart, fantasy art, storybook illustration, oil on canvas",
